Fecha,C1,C2,C3,C4,C5,SB,Suma_cifras,Suma_total
2021-7-3,1,9,13,22,29,14,74,88
2021-6-30,23,28,35,37,38,15,161,176
2021-6-26,4,14,31,32,43,16,124,140
2021-6-23,15,16,17,39,41,9,128,137
2021-6-19,5,8,14,26,33,3,86,89
2021-6-16,2,6,28,34,38,11,108,119
2021-6-12,18,19,25,26,43,9,131,140
2021-6-9,6,7,26,27,41,15,107,122
2021-6-5,1,9,10,13,27,8,60,68
2021-6-2,3,5,22,26,35,3,91,94
2021-5-29,1,8,18,29,40,2,96,98
2021-5-26,5,16,31,32,33,14,117,131
2021-5-22,2,9,13,35,39,12,98,110
2021-5-19,13,20,29,39,40,16,141,157
2021-5-15,17,26,31,35,38,10,147,157
2021-5-12,4,6,8,9,16,5,43,48
2021-5-8,5,10,24,29,41,11,109,120
2021-5-5,3,15,17,29,32,16,96,112
2021-5-1,1,16,34,41,43,2,135,137
